A,Bridge,B,Weight
19,2006,Beltran_Leyva,7
19,2006,Beltran_Leyva_Family,5
19,2006,Golfo,13
19,2006,Juarez,3
19,2006,Sinaloa,5
19,2006,Zetas,15
19,2006,Otros,1
19,2007,Beltran_Leyva,8
19,2007,Beltran_Leyva_Family,6
19,2007,Familia,1
19,2007,Golfo,29
19,2007,Sinaloa,7
19,2007,Sinaloa_Family,1
19,2007,Tijuana,1
19,2007,Zetas,25
19,2008,Beltran_Leyva,5
19,2008,Beltran_Leyva_Family,2
19,2008,Familia,3
19,2008,Golfo,20
19,2008,Juarez,1
19,2008,Sinaloa,10
19,2008,Sinaloa_Family,2
19,2008,Tijuana,1
19,2008,Zetas,20
19,2009,Beltran_Leyva,9
19,2009,Beltran_Leyva_Family,7
19,2009,Golfo,31
19,2009,Juarez,2
19,2009,Sinaloa,4
19,2009,Tijuana,1
19,2009,Zetas,34
19,2009,Otros,3
19,2010,Beltran_Leyva,7
19,2010,Beltran_Leyva_Family,3
19,2010,Familia,3
19,2010,Golfo,35
19,2010,Juarez,2
19,2010,Sinaloa,8
19,2010,Sinaloa_Family,1
19,2010,Tijuana,1
19,2010,Zetas,46
19,2010,Otros,3
20,2000,Sinaloa,1
20,2004,Golfo,1
20,2005,Golfo,2
20,2005,Zetas,1
20,2006,Golfo,1
20,2006,Sinaloa,1
20,2006,Zetas,4
20,2007,Beltran_Leyva,1
20,2007,Golfo,5
20,2007,Sinaloa,1
20,2007,Zetas,5
20,2007,Otros,1
20,2008,Beltran_Leyva,1
20,2008,Golfo,9
20,2008,Sinaloa,1
20,2008,Zetas,10
20,2009,Familia,3
20,2009,Golfo,4
20,2009,Sinaloa,3
20,2009,Zetas,10
20,2010,Beltran_Leyva,2
20,2010,Beltran_Leyva_Family,1
20,2010,Familia,3
20,2010,Golfo,4
20,2010,Sinaloa,1
20,2010,Zetas,18
21,2000,Golfo,1
21,2001,Juarez,1
21,2001,Sinaloa,1
21,2002,Sinaloa,1
21,2002,Tijuana,1
21,2003,Tijuana,1
21,2004,Golfo,1
21,2004,Tijuana,1
21,2004,Zetas,3
21,2005,Beltran_Leyva,2
21,2005,Familia,1
21,2005,Golfo,3
21,2005,Zetas,2
21,2006,Beltran_Leyva,1
21,2006,Golfo,3
21,2006,Sinaloa,1
21,2006,Tijuana,3
21,2006,Zetas,2
21,2007,Beltran_Leyva,1
21,2007,Golfo,3
21,2007,Sinaloa,2
21,2007,Sinaloa_Family,1
21,2007,Tijuana,2
21,2007,Zetas,4
21,2007,Otros,1
21,2008,Beltran_Leyva,3
21,2008,Familia,4
21,2008,Golfo,12
21,2008,Juarez,1
21,2008,Sinaloa,2
21,2008,Tijuana,2
21,2008,Zetas,24
21,2008,Otros,1
21,2009,Beltran_Leyva,6
21,2009,Familia,6
21,2009,Golfo,17
21,2009,Juarez,2
21,2009,Sinaloa,1
21,2009,Zetas,26
21,2009,Otros,1
21,2010,Beltran_Leyva,11
21,2010,Beltran_Leyva_Family,1
21,2010,Familia,3
21,2010,Golfo,7
21,2010,Juarez,2
21,2010,Sinaloa,2
21,2010,Tijuana,1
21,2010,Zetas,21
22,2001,Tijuana,1
22,2002,Tijuana,1
22,2004,Sinaloa,1
22,2005,Sinaloa,1
22,2006,Sinaloa,1
22,2007,Beltran_Leyva,2
22,2007,Golfo,2
22,2008,Beltran_Leyva,2
22,2008,Golfo,1
22,2008,Zetas,1
22,2009,Beltran_Leyva,2
22,2009,Familia,1
22,2009,Golfo,1
22,2009,Sinaloa,1
22,2010,Beltran_Leyva,2
22,2010,Familia,1
22,2010,Golfo,1
22,2010,Sinaloa,2
22,2010,Zetas,3
23,2000,Golfo,1
23,2005,Golfo,1
23,2005,Juarez,1
23,2005,Zetas,1
23,2006,Golfo,3
23,2006,Zetas,3
23,2007,Beltran_Leyva,1
23,2007,Golfo,3
23,2007,Sinaloa,1
23,2007,Zetas,1
23,2007,Otros,1
23,2008,Familia,2
23,2008,Golfo,4
23,2008,Sinaloa,2
23,2008,Zetas,7
23,2009,Beltran_Leyva,3
23,2009,Familia,2
23,2009,Golfo,7
23,2009,Sinaloa,1
23,2009,Zetas,5
23,2009,Otros,1
23,2010,Beltran_Leyva,2
23,2010,Familia,3
23,2010,Golfo,4
23,2010,Sinaloa,3
23,2010,Zetas,5
23,2010,Otros,1
24,2001,Beltran_Leyva,1
24,2001,Tijuana,1
24,2003,Golfo,1
24,2005,Beltran_Leyva,1
24,2005,Familia,1
24,2005,Golfo,1
24,2006,Golfo,1
24,2006,Tijuana,1
24,2006,Zetas,2
24,2007,Familia,1
24,2007,Golfo,2
24,2007,Zetas,2
24,2008,Golfo,7
24,2008,Juarez,1
24,2008,Sinaloa_Family,1
24,2008,Zetas,2
24,2009,Familia,2
24,2009,Golfo,3
24,2009,Juarez,1
24,2009,Zetas,4
24,2010,Familia,3
24,2010,Golfo,5
24,2010,Sinaloa,1
24,2010,Sinaloa_Family,1
24,2010,Zetas,4
25,2000,Golfo,1
25,2000,Sinaloa,1
25,2001,Beltran_Leyva,2
25,2001,Golfo,1
25,2001,Sinaloa,1
25,2001,Tijuana,1
25,2001,Zetas,1
25,2002,Sinaloa,3
25,2002,Tijuana,1
25,2003,Beltran_Leyva,3
25,2003,Juarez,1
25,2003,Sinaloa,4
25,2003,Tijuana,3
25,2003,Zetas,2
25,2004,Beltran_Leyva,1
25,2004,Golfo,1
25,2004,Juarez,1
25,2004,Sinaloa,6
25,2004,Tijuana,1
25,2004,Zetas,3
25,2004,Otros,1
25,2005,Beltran_Leyva,3
25,2005,Juarez,2
25,2005,Sinaloa,12
25,2005,Tijuana,1
25,2005,Zetas,3
25,2005,Otros,1
25,2006,Beltran_Leyva,3
25,2006,Beltran_Leyva_Family,1
25,2006,Familia,2
25,2006,Golfo,3
25,2006,Sinaloa,7
25,2006,Tijuana,2
25,2006,Zetas,8
25,2006,Otros,2
25,2007,Beltran_Leyva,5
25,2007,Familia,1
25,2007,Golfo,5
25,2007,Juarez,1
25,2007,Sinaloa,13
25,2007,Tijuana,1
25,2007,Zetas,6
25,2007,Otros,1
25,2008,Beltran_Leyva,11
25,2008,Beltran_Leyva_Family,3
25,2008,Golfo,2
25,2008,Juarez,5
25,2008,Sinaloa,13
25,2008,Sinaloa_Family,2
25,2008,Tijuana,1
25,2008,Zetas,3
25,2008,Otros,2
25,2009,Beltran_Leyva,12
25,2009,Beltran_Leyva_Family,2
25,2009,Golfo,3
25,2009,Juarez,5
25,2009,Sinaloa,14
